TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
50,4,3,3010202,Unsaturated,Perception,1,0,-16.6208,122817780,122818509,0.7294564,1,64,4.17438726989564,16.6208,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
51,4,4,3010202,Unsaturated,Perception,1,0,-13.29664,122827635,122829238,1.602879,1,51.2,3.95508249488859,13.29664,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
53,4,5,3010202,Unsaturated,Perception,1,0,-10.63731,122857022,122857883,0.860694,1,40.9599922988063,3.73671659999153,10.63731,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
54,4,6,3010202,Unsaturated,Perception,1,0,-8.509849,122907027,122907798,0.7705675,1,32.7679976896419,3.51951354006163,8.509849,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
55,4,7,3010202,Unsaturated,Perception,1,0,-6.807879,122916880,122917979,1.098633,1,26.2143973815942,3.3037461487637,6.807879,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
56,4,8,3010202,Unsaturated,Perception,0,1,-5.446303,122927076,122928130,1.054711,1,20.971517135156,3.08974693886696,5.446303,-25.97,5.446303,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
57,4,9,3010202,Unsaturated,Perception,1,1,-6.807878,122937234,122937875,0.6410237,1,26.2143935309973,3.30374600727252,6.807878,-25.97,6.807878,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
58,4,10,3010202,Unsaturated,Perception,1,0,-5.446302,122946956,122947672,0.7160005,1,20.9715132845591,3.08974676361292,5.446302,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
59,4,11,3010202,Unsaturated,Perception,1,0,-4.357042,122956770,122957637,0.8668336,1,16.777212167886,2.87791742183507,4.357042,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
60,4,12,3010202,Unsaturated,Perception,0,1,-3.485634,123006763,123008519,1.755506,1,13.4217712745476,2.66873895888659,3.485634,-25.97,3.485634,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
61,4,13,3010202,Unsaturated,Perception,0,0,-4.357042,123017693,123019599,1.906078,1,16.777212167886,2.87791742183507,4.357042,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
62,4,14,3010202,Unsaturated,Perception,1,1,-5.446302,123028733,123029397,0.6648379,1,20.9715132845591,3.08974676361292,5.446302,-25.97,5.446302,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
63,4,15,3010202,Unsaturated,Perception,1,0,-4.357042,123038469,123039162,0.6931947,1,16.777212167886,2.87791742183507,4.357042,-25.97,,127,fmri,Answers_Sub-127_Plan-JND_RunID-20240212-121914.csv
