TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
46,3,7,290201,Delay,Self,0,1,0.04511759,150017618,150019106,1.487999,1,17.797865877712,2.93374334624937,0.04511759,0.2535,0.04511759,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
47,3,8,290201,Delay,Self,0,0,0.06015679,150037174,150037854,0.6799985,1,23.7304891518738,3.20803686103337,0.06015679,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
48,3,9,290201,Delay,Self,1,1,0.08020905,150044891,150046253,1.361998,1,31.640650887574,3.4855584713056,0.08020905,0.2535,0.08020905,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
49,3,10,290201,Delay,Self,1,0,0.06015678,150057043,150057827,0.7839989,1,23.7304852071006,3.20803670152284,0.06015678,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
50,3,11,290201,Delay,Self,1,0,0.04511759,150108281,150108686,0.4050005,1,17.797865877712,2.93374334624937,0.04511759,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
51,3,12,290201,Delay,Self,1,0,0.03383819,150117922,150121239,3.316995,1,13.3483984220907,2.6636383277603,0.03383819,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
52,3,13,290201,Delay,Self,0,1,0.02537864,150130559,150131639,1.079998,1,10.0112978303748,2.39892182120583,0.02537864,0.2535,0.02537864,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
53,3,14,290201,Delay,Self,0,0,0.03383819,150140878,150142018,1.139998,1,13.3483984220907,2.6636383277603,0.03383819,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
54,3,15,290201,Delay,Self,0,0,0.04511759,150151106,150158555,7.448989,1,17.797865877712,2.93374334624937,0.04511759,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
55,3,16,290201,Delay,Self,0,0,0.06015679,150345754,150346396,0.6420001,1,23.7304891518738,3.20803686103337,0.06015679,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
56,3,17,290201,Delay,Self,1,1,0.08020905,150402970,150403454,0.4839989,1,31.640650887574,3.4855584713056,0.08020905,0.2535,0.08020905,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
57,3,18,290201,Delay,Self,1,0,0.06015678,150412967,150413528,0.5609992,1,23.7304852071006,3.20803670152284,0.06015678,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
58,3,19,290201,Delay,Self,1,0,0.04511759,150423484,150424297,0.8129974,1,17.797865877712,2.93374334624937,0.04511759,0.2535,,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
59,3,20,290201,Delay,Self,0,1,0.03383819,150433549,150434537,0.9879983,1,13.3483984220907,2.6636383277603,0.03383819,0.2535,0.03383819,003,wonderland,Answers_Sub-003_Plan-Wonderland_JND_RunID-20220928-144210.csv
