TrialNumber,BlockNumber,StepNumber,ConditionCode,ConditionName,Domain,QuestionResult,ReversalPoints,StairCaseValue,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,Attempt,percent,log_percent,SCV_abs,max_strength,ReversalVal,Subject,Study,Filename
112,7,9,290201,Delay,Self,1,1,0.1071037,123731355,123732217,0.8613127,1,42.2499802761341,3.76699677733464,0.1071037,0.2535,0.1071037,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
113,7,10,290201,Delay,Self,1,0,0.0696174,123741597,123743289,1.692268,1,27.4624852071006,3.34858691165676,0.0696174,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
114,7,11,290201,Delay,Self,0,1,0.04525131,123752210,123753040,0.8297865,1,17.8506153846154,2.93654555975983,0.04525131,0.2535,0.04525131,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
115,7,12,290201,Delay,Self,0,0,0.06961741,123801830,123802569,0.7392567,1,27.4624891518738,3.34858705025228,0.06961741,0.2535,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
116,7,13,290201,Delay,Self,1,1,0.1071037,123813315,123813985,0.670462,1,42.2499802761341,3.76699677733464,0.1071037,0.2535,0.1071037,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
120,8,1,2210101,Light,Nature,1,0,4.1616,123905335,123906219,0.8838064,1,100,4.61512051684126,4.1616,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
121,8,2,2210101,Light,Nature,1,0,3.53736,123915547,123916881,1.333959,1,85,4.45434729625351,3.53736,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
122,8,3,2210101,Light,Nature,0,0,3.006756,123925802,123926441,0.638497,1,72.25,4.29387824789718,3.006756,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
123,8,4,2210101,Light,Nature,0,0,3.53736,123935443,123936329,0.8853089,1,85,4.45434729625351,3.53736,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
124,8,5,2210101,Light,Nature,0,0,4.1616,123945592,123946490,0.8980891,1,100,4.61512051684126,4.1616,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
125,8,6,2210101,Light,Nature,0,0,4.1616,123955996,123957230,1.233949,1,100,4.61512051684126,4.1616,4.1616,,030,unreal_05,Answers_Sub-030_Plan-JND_RunID-20230223-120652.csv
